keyword_id,traffic_date,impressions,clicks,ctr,avg_position
1,2024-01-01,92892,2580,0.027777777777777776,36
1,2024-02-01,140058,4244,0.030303030303030304,33
1,2024-03-01,27726,894,0.03225806451612903,31
1,2024-04-01,79196,2639,0.03333333333333333,30
1,2024-05-01,73570,2627,0.03571428571428571,28
1,2024-06-01,65619,2430,0.037037037037037035,27
1,2024-07-01,145652,5602,0.038461538461538464,26
1,2024-08-01,109464,4561,0.041666666666666664,24
1,2024-09-01,133276,6346,0.047619047619047616,21
1,2024-10-01,25331,1206,0.047619047619047616,21
1,2024-11-01,135655,6459,0.047619047619047616,21
1,2024-12-01,45099,2373,0.05263157894736842,19
1,2025-01-01,127854,7520,0.058823529411764705,17
1,2025-02-01,8539,533,0.0625,16
1,2025-03-01,45379,3241,0.07142857142857142,14
1,2025-04-01,57292,4407,0.07692307692307693,13
1,2025-05-01,125612,12561,0.1,10
1,2025-06-01,140295,17536,0.125,8
1,2025-07-01,76696,9587,0.125,8
1,2025-08-01,65590,8198,0.125,8
1,2025-09-01,12522,2087,0.16666666666666666,6
1,2025-10-01,102872,20574,0.2,5
1,2025-11-01,29014,5802,0.2,5
1,2025-12-01,123894,30973,0.25,4
2,2024-01-01,45082,593,0.013157894736842105,76
2,2024-02-01,53945,709,0.013157894736842105,76
2,2024-03-01,128444,1735,0.013513513513513514,74
2,2024-04-01,74492,1049,0.014084507042253521,71
2,2024-05-01,139457,2050,0.014705882352941176,68
2,2024-06-01,65552,964,0.014705882352941176,68
2,2024-07-01,67944,1045,0.015384615384615385,65
2,2024-08-01,132988,2077,0.015625,64
2,2024-09-01,66226,1034,0.015625,64
2,2024-10-01,54583,852,0.015625,64
2,2024-11-01,109180,1733,0.015873015873015872,63
2,2024-12-01,72882,1214,0.016666666666666666,60
2,2025-01-01,115173,2020,0.017543859649122806,57
2,2025-02-01,17448,323,0.018518518518518517,54
2,2025-03-01,15715,291,0.018518518518518517,54
2,2025-04-01,26897,498,0.018518518518518517,54
2,2025-05-01,103328,2026,0.0196078431372549,51
2,2025-06-01,42572,868,0.02040816326530612,49
2,2025-07-01,140915,3063,0.021739130434782608,46
2,2025-08-01,32551,723,0.022222222222222223,45
2,2025-09-01,100691,2237,0.022222222222222223,45
2,2025-10-01,28442,646,0.022727272727272728,44
2,2025-11-01,88099,2048,0.023255813953488372,43
2,2025-12-01,89399,2079,0.023255813953488372,43
3,2024-01-01,5763,164,0.02857142857142857,35
3,2024-02-01,28771,846,0.029411764705882353,34
3,2024-03-01,98734,2903,0.029411764705882353,34
3,2024-04-01,87029,2637,0.030303030303030304,33
3,2024-05-01,137607,4586,0.03333333333333333,30
3,2024-06-01,33519,1197,0.03571428571428571,28
3,2024-07-01,130050,5001,0.038461538461538464,26
3,2024-08-01,144092,6003,0.041666666666666664,24
3,2024-09-01,31906,1329,0.041666666666666664,24
3,2024-10-01,87786,3657,0.041666666666666664,24
3,2024-11-01,12297,558,0.045454545454545456,22
3,2024-12-01,129996,6841,0.05263157894736842,19
3,2025-01-01,55183,3448,0.0625,16
3,2025-02-01,47791,2986,0.0625,16
3,2025-03-01,31086,2220,0.07142857142857142,14
3,2025-04-01,109818,9983,0.09090909090909091,11
3,2025-05-01,96520,12065,0.125,8
3,2025-06-01,84957,16991,0.2,5
3,2025-07-01,128233,25646,0.2,5
3,2025-08-01,42922,12876,0.3,3
3,2025-09-01,2243,672,0.3,2
3,2025-10-01,124412,37323,0.3,1
3,2025-11-01,43829,13148,0.3,1
3,2025-12-01,53282,15984,0.3,1
4,2024-01-01,33337,1190,0.03571428571428571,28
4,2024-02-01,100957,3605,0.03571428571428571,28
4,2024-03-01,8974,320,0.03571428571428571,28
4,2024-04-01,141563,5055,0.03571428571428571,28
4,2024-05-01,3304,118,0.03571428571428571,28
4,2024-06-01,89840,3208,0.03571428571428571,28
4,2024-07-01,12498,462,0.037037037037037035,27
4,2024-08-01,78874,3154,0.04,25
4,2024-09-01,125581,5460,0.043478260869565216,23
4,2024-10-01,135886,6470,0.047619047619047616,21
4,2024-11-01,126710,7039,0.05555555555555555,18
4,2024-12-01,93755,5515,0.058823529411764705,17
4,2025-01-01,30925,2061,0.06666666666666667,15
4,2025-02-01,79045,6587,0.08333333333333333,12
4,2025-03-01,14365,1305,0.09090909090909091,11
4,2025-04-01,35726,3572,0.1,10
4,2025-05-01,51448,7349,0.14285714285714285,7
4,2025-06-01,64615,10769,0.16666666666666666,6
4,2025-07-01,121411,36423,0.3,3
4,2025-08-01,10224,3067,0.3,1
4,2025-09-01,71618,21485,0.3,1
4,2025-10-01,87242,26172,0.3,1
4,2025-11-01,30526,9157,0.3,1
4,2025-12-01,20612,6183,0.3,1
5,2024-01-01,84395,1241,0.014705882352941176,68
5,2024-02-01,126245,1884,0.014925373134328358,67
5,2024-03-01,116623,1822,0.015625,64
5,2024-04-01,44927,736,0.01639344262295082,61
5,2024-05-01,104719,1745,0.016666666666666666,60
5,2024-06-01,23073,397,0.017241379310344827,58
